-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Observed     |       Ritz       |   Rel. |    Aki     | Acc. |       Ei           Ek       |     Lower level     |     Upper level     |Type|        TP  |       Line  |
    Wavelength    |    Wavelength    |   Int. |   (s^-1)   |      |     (cm-1)       (cm-1)     |---------------------|---------------------|    |       Ref. |       Ref.  |
     Air (nm)     |     Air (nm)     |        |            |      |                             | Conf.  | Term | J   | Conf.  | Term | J   |    |            |             |
                  |                  |        |            |      |                             |        |      |     |        |      |     |    |            |             |
        458.5817  |        458.5818  |    500 | 1.00e+07   | C+   |  121483.50   -   143283.75  | 3s.4d  | 3D   | 3   | 3s.7f  | 3F*  | 4   |    | T6298c4,LS |      L4575  |
        458.8082  |        458.8110  |      5 | 1.12e+06   | D    |  121483.50   -   143272.86  | 3s.4d  | 3D   | 3   | 3s.7f  | 3F*  | 3   |    | T6298c4,LS |      L3471  |
        458.8191  |        458.8199  |    400 | 8.91e+06   | C+   |  121483.92   -   143272.86  | 3s.4d  | 3D   | 2   | 3s.7f  | 3F*  | 3   |    | T6298c4,LS |      L4575  |
                  |        458.9591  |        | 4.40e+04   | E    |  121483.50   -   143265.83  | 3s.4d  | 3D   | 3   | 3s.7f  | 3F*  | 2   |    | T6298c4,LS |             |
        458.9674  |        458.9680  |    200 | 1.56e+06   | D    |  121483.92   -   143265.83  | 3s.4d  | 3D   | 2   | 3s.7f  | 3F*  | 2   |    | T6298c4,LS |      L4575  |
                  |                  |        |            |      |                             |        |      |     |        |      |     |    |            |             |
        458.9742  |        458.9750  |    300 | 8.41e+06   | C    |  121484.252  -   143265.83  | 3s.4d  | 3D   | 1   | 3s.7f  | 3F*  | 2   |    | T6298c4,LS |      L4575  |
                  |        463.937   |        | 6.66e+06   | C+   |  123418.48   -   144967.1   | 3s.4f  | 3F*  | 2   | 3s.8g  | 3G   | 3   |    | T6298c4,LS |             |
                  |        463.979   |        | 6.79e+06   | C+   |  123420.45   -   144967.1   | 3s.4f  | 3F*  | 3   | 3s.8g  | 3G   | 4   |    | T6298c4,LS |             |
                  |        463.979   |        | 5.82e+05   | D    |  123420.45   -   144967.1   | 3s.4f  | 3F*  | 3   | 3s.8g  | 3G   | 3   |    | T6298c4,LS |             |
                  |        464.042   |        | 7.24e+06   | C+   |  123423.36   -   144967.1   | 3s.4f  | 3F*  | 4   | 3s.8g  | 3G   | 5   |    | T6298c4,LS |             |
                  |                  |        |            |      |                             |        |      |     |        |      |     |    |            |             |
                  |        464.042   |        | 8.88e+03   | E    |  123423.36   -   144967.1   | 3s.4f  | 3F*  | 4   | 3s.8g  | 3G   | 3   |    | T6298c4,LS |             |
                  |        464.042   |        | 4.52e+05   | D    |  123423.36   -   144967.1   | 3s.4f  | 3F*  | 4   | 3s.8g  | 3G   | 4   |    | T6298c4,LS |             |
        466.3056  |        466.3046  |   1000 | 5.81e+07   | A+   |   85481.35   -   106920.56  | 3p2    | 1D   | 2   | 3s.4p  | 1P*  | 1   |    |    c47,u24 |      L4575  |
                  |        514.442   |        | 1.17e+07   | C+   |  123418.48   -   142851.6   | 3s.4f  | 3F*  | 2   | 3s.7g  | 3G   | 3   |    | T6298c4,LS |             |
                  |        514.494   |        | 1.19e+07   | C+   |  123420.45   -   142851.6   | 3s.4f  | 3F*  | 3   | 3s.7g  | 3G   | 4   |    | T6298c4,LS |             |
                  |                  |        |            |      |                             |        |      |     |        |      |     |    |            |             |
                  |        514.494   |        | 1.03e+06   | D    |  123420.45   -   142851.6   | 3s.4f  | 3F*  | 3   | 3s.7g  | 3G   | 3   |    | T6298c4,LS |             |
                  |        514.571   |        | 7.96e+05   | D    |  123423.36   -   142851.6   | 3s.4f  | 3F*  | 4   | 3s.7g  | 3G   | 4   |    | T6298c4,LS |             |
                  |        514.571   |        | 1.27e+07   | C+   |  123423.36   -   142851.6   | 3s.4f  | 3F*  | 4   | 3s.7g  | 3G   | 5   |    | T6298c4,LS |             |
                  |        514.571   |        | 1.56e+04   | E    |  123423.36   -   142851.6   | 3s.4f  | 3F*  | 4   | 3s.7g  | 3G   | 3   |    | T6298c4,LS |             |
                  |        515.823   |        | 1.26e+07   | C+   |  123470.5    -   142851.6   | 3s.4f  | 1F*  | 3   | 3s.7g  | 1G   | 4   |    |    T6298c4 |             |
                  |                  |        |            |      |                             |        |      |     |        |      |     |    |            |             |
        527.862   |        527.868   |      6 | 1.11e+06   | D    |  125703.14   -   144642.0   | 3s.5p  | 3P*  | 0   | 3s.8d  | 3D   | 1   |    | T6298c4,LS |      L3471  |
        528.0214  |        528.0216  |      8 | 1.49e+06   | D    |  125708.828  -   144642.18  | 3s.5p  | 3P*  | 1   | 3s.8d  | 3D   | 2   |    | T6298c4,LS |      L4575  |
                  |        528.027   |        | 8.32e+05   | D    |  125708.828  -   144642.0   | 3s.5p  | 3P*  | 1   | 3s.8d  | 3D   | 1   |    | T6298c4,LS |             |
        528.3735  |        528.3733  |    100 | 2.00e+06   | C    |  125721.703  -   144642.45  | 3s.5p  | 3P*  | 2   | 3s.8d  | 3D   | 3   |    | T6298c4,LS |      L4575  |
                  |        528.3809  |        | 4.99e+05   | D    |  125721.703  -   144642.18  | 3s.5p  | 3P*  | 2   | 3s.8d  | 3D   | 2   |    | T6298c4,LS |             |
                  |                  |        |            |      |                             |        |      |     |        |      |     |    |            |             |
                  |        528.386   |        | 5.53e+04   | E    |  125721.703  -   144642.0   | 3s.5p  | 3P*  | 2   | 3s.8d  | 3D   | 1   |    | T6298c4,LS |             |
        528.5842  |        528.5838  |     30 | 3.28e+06   | C    |  125869.015  -   144782.23  | 3s.5p  | 1P*  | 1   | 3s.8d  | 1D   | 2   |    |    T6298c4 |      L4575  |
        538.848   |        538.8682  |      2 | 1.43e+06   | C+   |  121366.725  -   139918.98  | 3s.5s  | 1S   | 0   | 3s.7p  | 1P*  | 1   |    |      T6533 |      L3471  |
        559.3302  |        559.330   |    800 | 9.26e+07   | A    |  106920.56   -   124794.13  | 3s.4p  | 1P*  | 1   | 3s.4d  | 1D   | 2   |    |      T6533 |      L4575  |
        561.3291  |        561.329   |    100 | 3.43e+06   | C+   |  124794.13   -   142604.05  | 3s.4d  | 1D   | 2   | 3s.7f  | 1F*  | 3   |    |      T6533 |      L4575  |
                  |                  |        |            |      |                             |        |      |     |        |      |     |    |            |             |
        585.362   |        585.376   |    100 | 1.28e+07   | B    |  121483.50   -   138561.8   | 3s.4d  | 3D   | 3   | 3s.6f  | 3F*  | 4   |    | T6298c4,LS |      L3471  |
        586.153   |        586.177   |     80 | 1.14e+07   | B    |  121483.92   -   138538.9   | 3s.4d  | 3D   | 2   | 3s.6f  | 3F*  | 3   |    | T6298c4,LS |      L3471  |
                  |        586.162   |        | 1.43e+06   | C+   |  121483.50   -   138538.9   | 3s.4d  | 3D   | 3   | 3s.6f  | 3F*  | 3   |    | T6298c4,LS |             |
                  |        586.764   |        | 5.61e+04   | D    |  121483.50   -   138521.4   | 3s.4d  | 3D   | 3   | 3s.6f  | 3F*  | 2   |    | T6298c4,LS |             |
                  |        586.779   |        | 1.99e+06   | C+   |  121483.92   -   138521.4   | 3s.4d  | 3D   | 2   | 3s.6f  | 3F*  | 2   |    | T6298c4,LS |             |
                  |                  |        |            |      |                             |        |      |     |        |      |     |    |            |             |
        586.781   |        586.790   |     50 | 1.07e+07   | B    |  121484.252  -   138521.4   | 3s.4d  | 3D   | 1   | 3s.6f  | 3F*  | 2   |    | T6298c4,LS |      L3471  |
        597.1980  |        597.197   |     80 | 5.81e+06   | C+   |  125869.015  -   142609.27  | 3s.5p  | 1P*  | 1   | 3s.7d  | 1D   | 2   |    |    T6298c4 |      L4575  |
        599.975   |        599.987   |   5hfs | 2.07e+06   | C    |  125703.14   -   142365.54  | 3s.5p  | 3P*  | 0   | 3s.7d  | 3D   | 1   |    | T6298c4,LS |  L3515c150  |
        600.176   |        600.187   |     60 | 2.79e+06   | C    |  125708.828  -   142365.69  | 3s.5p  | 3P*  | 1   | 3s.7d  | 3D   | 2   |    | T6298c4,LS |      L3515  |
        600.188   |        600.192   |     40 | 1.55e+06   | D    |  125708.828  -   142365.54  | 3s.5p  | 3P*  | 1   | 3s.7d  | 3D   | 1   |    | T6298c4,LS |      L3515  |
                  |                  |        |            |      |                             |        |      |     |        |      |     |    |            |             |
        600.6410  |        600.641   |    200 | 3.71e+06   | C+   |  125721.703  -   142365.98  | 3s.5p  | 3P*  | 2   | 3s.7d  | 3D   | 3   |    | T6298c4,LS |      L4575  |
                  |        600.651   |        | 9.28e+05   | D    |  125721.703  -   142365.69  | 3s.5p  | 3P*  | 2   | 3s.7d  | 3D   | 2   |    | T6298c4,LS |             |
                  |        600.657   |        | 1.03e+05   | E    |  125721.703  -   142365.54  | 3s.5p  | 3P*  | 2   | 3s.7d  | 3D   | 1   |    | T6298c4,LS |             |
        606.1124  |        606.112   |     30 | 8.38e+06   | C    |  125869.015  -   142363.06  | 3s.5p  | 1P*  | 1   | 3s.8s  | 1S   | 0   |    |    T6298c4 |      L4575  |
        606.637   |        606.636   |  25hfs | 8.88e+05   | D    |  125703.14   -   142182.94  | 3s.5p  | 3P*  | 0   | 3s.8s  | 3S   | 1   |    | T6298c4,LS |  L3515c150  |
                  |                  |        |            |      |                             |        |      |     |        |      |     |    |            |             |
        606.847   |        606.845   |  65hfs | 2.66e+06   | C    |  125708.828  -   142182.94  | 3s.5p  | 3P*  | 1   | 3s.8s  | 3S   | 1   |    | T6298c4,LS |  L3515c150  |
        607.3198  |        607.320   |     50 | 4.43e+06   | C    |  125721.703  -   142182.94  | 3s.5p  | 3P*  | 2   | 3s.8s  | 3S   | 1   |    | T6298c4,LS |      L4575  |
        618.163   |        618.158   | 110hfs | 2.41e+07   | B+   |  123418.48   -   139591.1   | 3s.4f  | 3F*  | 2   | 3s.6g  | 3G   | 3   |    | T6298c4,LS |  L3515c150  |
                  |        618.233   |        | 2.09e+06   | C+   |  123420.45   -   139591.1   | 3s.4f  | 3F*  | 3   | 3s.6g  | 3G   | 3   |    | T6298c4,LS |             |
                  |        618.233   |        | 2.44e+07   | B+   |  123420.45   -   139591.1   | 3s.4f  | 3F*  | 3   | 3s.6g  | 3G   | 4   |    | T6298c4,LS |             |
                  |                  |        |            |      |                             |        |      |     |        |      |     |    |            |             |
                  |        618.345   |        | 3.21e+04   | D    |  123423.36   -   139591.1   | 3s.4f  | 3F*  | 4   | 3s.6g  | 3G   | 3   |    | T6298c4,LS |             |
                  |        618.345   |        | 1.63e+06   | C+   |  123423.36   -   139591.1   | 3s.4f  | 3F*  | 4   | 3s.6g  | 3G   | 4   |    | T6298c4,LS |             |
                  |        618.345   |        | 2.61e+07   | B+   |  123423.36   -   139591.1   | 3s.4f  | 3F*  | 4   | 3s.6g  | 3G   | 5   |    | T6298c4,LS |             |
                  |        620.153   |        | 2.59e+07   | B+   |  123470.5    -   139591.1   | 3s.4f  | 1F*  | 3   | 3s.6g  | 1G   | 4   |    |    T6298c4 |             |
        622.618   |        622.619   |     50 | 6.25e+07   | B+   |  105427.52   -   121484.252 | 3s.4p  | 3P*  | 0   | 3s.4d  | 3D   | 1   |    | T6298c4,LS |      L4575  |
                  |                  |        |            |      |                             |        |      |     |        |      |     |    |            |             |
                  |        623.162   |        | 4.67e+07   | B+   |  105441.50   -   121484.252 | 3s.4p  | 3P*  | 1   | 3s.4d  | 3D   | 1   |    | T6298c4,LS |             |
        623.1745  |        623.175   |     75 | 8.40e+07   | A    |  105441.50   -   121483.92  | 3s.4p  | 3P*  | 1   | 3s.4d  | 3D   | 2   |    | T6298c4,LS |      L4575  |
                  |        624.307   |        | 3.11e+06   | C+   |  105470.93   -   121484.252 | 3s.4p  | 3P*  | 2   | 3s.4d  | 3D   | 1   |    | T6298c4,LS |             |
